Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
1091385,"Jul 28, 2011, 11:51:46 PM",Interval Training,Ride,"",1540,9.51,171.0,15,false,,2011 Allez,activities/1297099.fit.gz,78.01789855957031,10.432600021362305,1540.0,1396.0,9515.849609375,16.18400001525879,,25.799999237060547,,16.0,31.600000381469727,22.123899459838867,-0.0021017598919570446,,,114.0,79.55339813232422,171.0,142.03199768066406,,100.2020034790039,,,,15.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,28721.0,,,,,,,,,,,,,,,,,,,,,,,,,""
1091393,"Jul 27, 2011, 12:00:46 AM",Mill Creek,Ride,"",5040,24.49,170.0,43,false,,2011 Allez,activities/1297106.fit.gz,78.01789855957031,10.432600021362305,5040.0,4472.0,24490.099609375,17.4060001373291,,507.6000061035156,,13.199999809265137,503.20001220703125,2000.0,0.03674960136413574,,,118.0,63.793800354003906,170.0,138.54299926757812,,127.31500244140625,,,,43.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,28721.0,,,,,,,,,,,,,,,,,,,,,,,,,""
1091394,"Jul 21, 2011, 6:33:18 PM",Lunch Ride in the hills,Ride,"",3127,16.62,177.0,36,false,,2011 Allez,activities/1297108.fit.gz,78.01789855957031,10.432600021362305,3127.0,2622.0,16626.0,17.58799934387207,,226.39999389648438,,22.399999618530273,238.8000030517578,15.469599723815918,-0.06255249679088593,,,117.0,71.9280014038086,177.0,147.8509979248047,,123.06099700927734,,,,36.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,28721.0,,,,,,,,,,,,,,,,,,,,,,,,,""
1091396,"Aug 2, 2011, 11:19:28 PM",MIll Creek plus Morrison Canyon,Ride,"",9546,54.53,173.0,123,false,,2011 Allez,activities/1297103.fit.gz,78.01789855957031,10.432600021362305,9546.0,9359.0,54531.1015625,17.606700897216797,,1046.0,,16.0,500.0,32.6974983215332,0.024573199450969696,,,125.0,71.29910278320312,173.0,146.01400756835938,,133.21800231933594,,,,123.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,28721.0,,,,,,,,,,,,,,,,,,,,,,,,,""
1091397,"Jul 15, 2011, 6:33:24 PM",Lunch Ride: Arastradero Preserve,Ride,"",5089,18.89,181.0,70,false,,RockHopper,activities/1297113.fit.gz,78.01789855957031,12.700599670410156,5089.0,4367.0,18891.400390625,14.630000114440918,,296.3999938964844,,14.600000381469727,245.60000610351562,217.39100646972656,0.02964320033788681,,,154.0,72.88670349121094,181.0,154.0659942626953,,113.89900207519531,,,,70.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,34417.0,,,,,,,,,,,,,,,,,,,,,,,,,""
1091398,"Jul 19, 2011, 6:04:46 PM",Lunch Ride in the hills,Ride,"",5390,32.68,175.0,62,false,,2011 Allez,activities/1297111.fit.gz,78.01789855957031,10.432600021362305,5390.0,5361.0,32685.19921875,21.47599983215332,,603.5999755859375,,13.0,530.5999755859375,33.036800384521484,-0.0006118969758972526,,,120.0,72.97480010986328,175.0,146.01800537109375,,137.3249969482422,,,,62.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,28721.0,,,,,,,,,,,,,,,,,,,,,,,,,""
1091399,"Jul 14, 2011, 6:21:55 PM",Lunch Ride,Ride,"",3052,16.43,176.0,26,false,,2011 Allez,activities/1297120.fit.gz,78.01789855957031,10.432600021362305,3052.0,2961.0,16435.69921875,16.174999237060547,,135.0,,11.600000381469727,63.400001525878906,19.653200149536133,-0.01946979947388172,,,110.0,65.29149627685547,176.0,127.91200256347656,,81.93379974365234,,,,26.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,28721.0,,,,,,,,,,,,,,,,,,,,,,,,,""
1091402,"Jul 10, 2011, 6:30:27 PM",Lunch Ride Short PV loop,Ride,"",3927,21.25,174.0,25,false,,2011 Allez,activities/1297116.fit.gz,78.01789855957031,10.432600021362305,3927.0,3593.0,21250.30078125,14.378000259399414,,203.0,,28.200000762939453,151.8000030517578,103.447998046875,-0.014117400161921978,,,125.0,64.13050079345703,174.0,123.79100036621094,,92.53730010986328,370.72247314453125,,,25.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,28721.0,,,,,,,,,,,,,,,,,,,,,,,,,""
1091403,"Jul 8, 2011, 6:13:42 PM",Lunch Ride in the hills,Ride,"",4045,25.69,178.0,54,false,,2011 Allez,activities/1297118.fit.gz,78.01789855957031,10.432600021362305,4045.0,3950.0,25697.0,16.079999923706055,,445.20001220703125,,15.0,284.0,33.33330154418945,0.014009400270879269,,,114.0,75.48970031738281,178.0,148.04299926757812,,135.3470001220703,,,,54.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,28721.0,,,,,,,,,,,,,,,,,,,,,,,,,""
1091404,"Jun 25, 2011, 6:43:29 PM",Short Lunch Ride,Ride,"",2148,11.97,,,false,,2011 Allez,activities/1297124.fit.gz,78.01789855957031,10.432600021362305,2148.0,1994.0,11976.2998046875,13.29170036315918,,150.0,,12.0,114.5999984741211,25.43720054626465,-0.013359799981117249,,,162.0,73.00650024414062,,,,106.37999725341797,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,28721.0,,,,,,,,,,,,,,,,,,,,,,,,,""
1091405,"Jul 3, 2011, 4:53:59 PM","Rode to Lake Del Valle, then swam, then rode back",Ride,"",11153,57.59,,,false,,2011 Allez,activities/1297115.fit.gz,78.01789855957031,10.432600021362305,11153.0,9688.0,57598.5,26.5939998626709,,588.4000244140625,,190.8000030517578,439.79998779296875,1550.0,0.01944500021636486,,,217.0,73.99919891357422,,,,119.13999938964844,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,28721.0,,,,,,,,,,,,,,,,,,,,,,,,,""
1091407,"Jul 6, 2011, 2:42:00 AM",Easy ride,Ride,"",4756,20.50,141.0,16,false,,2011 Allez,activities/1297130.fit.gz,78.01789855957031,10.432600021362305,4756.0,4326.0,20508.099609375,12.616700172424316,,78.80000305175781,,13.399999618530273,58.0,24.096399307250977,-0.020479699596762657,,,134.0,57.206199645996094,141.0,97.80819702148438,,58.70069885253906,,,,16.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,28721.0,,,,,,,,,,,,,,,,,,,,,,,,,""
1091410,"Jul 7, 2011, 6:33:13 PM",Short Lunch Ride in the hills,Ride,"",2712,15.26,175.0,27,false,,2011 Allez,activities/1297131.fit.gz,78.01789855957031,10.432600021362305,2712.0,2528.0,15260.7001953125,16.510000228881836,,204.0,,15.0,146.39999389648438,666.6669921875,0.01834779977798462,,,130.0,71.3363037109375,175.0,138.16000366210938,,120.12100219726562,,,,27.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,28721.0,,,,,,,,,,,,,,,,,,,,,,,,,""
