Follower Athlete ID,Follow Status,Created At
140992,Accepted,"May 12, 2012, 4:11:57 PM"
526119,Accepted,"May 18, 2012, 3:24:30 PM"
160733,Accepted,"Jul 9, 2012, 7:10:12 PM"
534207,Accepted,"Aug 8, 2012, 4:53:54 PM"
1063591,Accepted,"Oct 4, 2012, 3:48:52 PM"
1187139,Accepted,"Oct 22, 2012, 8:11:03 AM"
2549546,Accepted,"May 1, 2014, 5:28:47 PM"
3450592,Accepted,"May 10, 2014, 3:19:32 AM"
2895139,Accepted,"Jun 4, 2014, 12:33:30 AM"
3181900,Accepted,"Jun 19, 2014, 3:01:32 PM"
6293189,Accepted,"Sep 20, 2014, 2:36:36 PM"
1056482,Accepted,"Dec 1, 2014, 5:05:04 PM"
5859205,Accepted,"Feb 28, 2015, 3:48:34 AM"
8463553,Accepted,"May 23, 2015, 1:37:08 PM"
15632993,Accepted,"Aug 25, 2018, 8:14:51 PM"
54735230,Accepted,"Sep 13, 2020, 6:45:46 PM"
