Following Athlete ID,Follow Status,Created At
140992,Accepted,"Sep 9, 2011, 9:16:34 PM"
526119,Accepted,"May 18, 2012, 3:24:30 PM"
160733,Accepted,"Jul 10, 2012, 5:03:08 PM"
534207,Accepted,"Aug 8, 2012, 5:42:25 PM"
1063591,Accepted,"Oct 4, 2012, 5:21:50 PM"
1187139,Accepted,"Oct 21, 2012, 3:04:20 PM"
2549546,Accepted,"May 1, 2014, 4:27:53 PM"
3450592,Accepted,"May 10, 2014, 2:03:59 AM"
2895139,Accepted,"Jun 3, 2014, 3:55:59 PM"
3181900,Accepted,"Jun 19, 2014, 3:15:31 PM"
6293189,Accepted,"Sep 20, 2014, 2:24:20 PM"
1056482,Accepted,"Dec 1, 2014, 4:27:39 PM"
5859205,Accepted,"Feb 28, 2015, 6:01:35 AM"
8463553,Accepted,"May 23, 2015, 4:19:50 AM"
15632993,Accepted,"Mar 1, 2019, 5:20:55 PM"
54735230,Accepted,"Sep 13, 2020, 6:38:19 PM"
