Promotion Seen,Timestamp
FeedFollowOptionCoachmark,1593818782
GapActivityDetailUpsell,1597106663
GapActivityDetailUpsell,1600735371
GapActivityDetailUpsell,1604869798
GapActivityDetailUpsell,1630778172
EvergreenStatsFeatureEd,1615673856
EvergreenStatsFeatureEd,1616711165
EvergreenStatsFeatureEd,1616805611
NavigationTabHome,1616905745
NavigationTabHome,1619399743
NavigationTabMaps,1617072465
NavigationTabGroups,1617072475
NavigationTabYou,1616905755
NavigationTabYouProgress,1618241808
NavigationTabYouProgress,1619317334
NavigationTabYouProgress,1619317341
NavigationTabYouActivities,1616905761
NavigationTabYouActivities,1619317332
NavigationTabYouActivities,1619317333
NavigationTabYouActivities,1619317337
NavigationTabYouActivities,1619317364
NavigationTabYouProfile,1616905763
NavigationTabMapsSegments,1617072464
NavigationTabMapsRoutes,1617072469
NavigationTabMapsSaved,1617072472
NavigationTabGroupsActive,1623200028
NavigationTabGroupsChallenges,1617072479
NavigationTabGroupsClubs,1617072482
NavigationHomeEducationCoachmarkImpression,1620436760
NavigationHomeEducationCoachmarkImpression,1620439238
NavigationHomeEducationCoachmarkImpression,1620439242
NavigationHomeEducationCoachmarkImpression,1620823687
NavigationHomeEducationCoachmarkImpression,1621466268
NavigationHomeEducationCoachmarkImpression,1621903152
NavigationYouProgressEducationCoachmarkImpression,1624326486
NavigationYouProgressEducationCoachmarkImpression,1625359976
NavigationYouProgressEducationCoachmarkImpression,1626019139
NavigationYouProgressEducationCoachmarkImpression,1627448486
NavigationTabEducationModalMapsJ2,1624241842
NavigationTabEducationModalGroupsJ2,1624241830
ActivityDetailsLeaderboardQualityCoachmark,1686582580
ActivityDetailsLeaderboardQualityCoachmark,1686582633
RecordScreenRoutesCoachmark,1629421397
RecordScreenRoutesCoachmark,1632004313
RecordScreenRoutesCoachmark,1634688252
RecordScreenBeaconCoachmark,1630453174
MapSettingsPersonalHeatmapCoachmark,1665544521
MapSettingsButtonPersonalHeatmapFeatureEd,1665542356
MapVisibilityFeedCoachmarkImpression,1665365259
MapVisibilityFeedCoachmarkImpression,1665365263
MapVisibilityFeedCoachmarkImpression,1665442224
MapVisibilityFeedCoachmarkImpression,1665446910
MapVisibilityFeedCoachmarkImpression,1665446914
MapVisibilityFeedCoachmarkImpression,1665541699
MapVisibilityRowReinforcementImpression,1665446914
MapVisibilityRowReinforcementImpression,1665513142
MapVisibilityRowReinforcementImpression,1665541699
MapVisibilityRowReinforcementImpression,1665542881
MapVisibilityRowReinforcementImpression,1665544512
MapVisibilityRowReinforcementImpression,1665544517
MapVisibilityActivityCoachmarkImpression,1665446947
MapVisibilityActivityCoachmarkImpression,1665513147
MapVisibilityActivityCoachmarkImpression,1665541717
MapVisibilityActivityCoachmarkImpression,1665542893
MapVisibilityActivityCoachmarkImpression,1665542901
MapVisibilityActivityCoachmarkImpression,1665544538
WelcomeBackKudosCoachmarkImpression,1665357395
WelcomeBackKudosCoachmarkImpression,1665365260
WelcomeBackKudosCoachmarkImpression,1665365264
WelcomeBackKudosCoachmarkImpression,1665446911
WelcomeBackKudosCoachmarkImpression,1665513144
WelcomeBackKudosCoachmarkImpression,1665541700
WelcomeBackKudosCoachmarkImpression,1665542882
