Reaction Date,Reaction Type,Parent Type,Parent ID
"Oct 26, 2011, 4:20:51 PM",Kudos,Activity,2083561
"Dec 25, 2011, 9:36:25 PM",Kudos,Activity,2848575
"Jan 3, 2012, 10:08:42 PM",Kudos,Activity,3025243
"Jan 3, 2012, 10:08:53 PM",Kudos,Activity,3025011
"Jan 5, 2012, 2:21:38 AM",Kudos,Activity,3090331
"May 13, 2012, 12:01:39 AM",Kudos,Activity,8335952
"May 30, 2012, 8:37:29 PM",Kudos,Activity,9726135
"May 30, 2012, 8:38:06 PM",Kudos,Activity,9561526
"Jun 11, 2012, 8:42:20 PM",Kudos,Activity,10595927
"Jun 20, 2012, 9:19:21 PM",Kudos,Activity,11291603
"Jun 20, 2012, 9:19:26 PM",Kudos,Activity,10890496
"Jun 23, 2012, 3:30:58 AM",Kudos,Activity,11481888
"Jun 23, 2012, 3:32:44 AM",Kudos,Activity,11467912
"Jun 28, 2012, 4:31:30 AM",Kudos,Activity,11912806
"Jul 2, 2012, 4:20:41 PM",Kudos,Activity,12147256
"Jul 13, 2012, 4:36:23 PM",Kudos,Activity,13231292
"Jul 26, 2012, 3:10:33 AM",Kudos,Activity,14572551
"Jul 26, 2012, 3:10:35 AM",Kudos,Activity,14514835
"Jul 27, 2012, 12:16:10 AM",Kudos,Activity,14778003
"Jul 30, 2012, 12:28:41 AM",Kudos,Activity,15174789
"Aug 8, 2012, 3:02:45 AM",Kudos,Activity,16931539
"Aug 14, 2012, 9:10:56 PM",Kudos,Activity,18502600
"Aug 23, 2012, 9:30:09 PM",Kudos,Activity,19500611
"Oct 2, 2012, 8:08:01 PM",Kudos,Activity,23805566
"Oct 6, 2012, 7:49:04 PM",Kudos,Activity,24153696
"Oct 6, 2012, 7:49:15 PM",Kudos,Activity,24084277
"Oct 9, 2012, 10:25:05 PM",Kudos,Activity,24498085
"Oct 12, 2012, 11:31:38 PM",Kudos,Activity,24831650
"Oct 14, 2012, 1:06:24 AM",Kudos,Activity,24938852
"Nov 3, 2012, 10:38:14 PM",Kudos,Activity,26793313
"Nov 3, 2012, 10:38:40 PM",Kudos,Activity,26747921
"Nov 5, 2012, 3:34:11 AM",Kudos,Activity,26966870
"Nov 5, 2012, 3:34:27 AM",Kudos,Activity,26969938
"Nov 7, 2012, 4:13:17 PM",Kudos,Activity,27107220
"Nov 14, 2012, 12:05:04 AM",Kudos,Activity,27740404
"Nov 14, 2012, 5:08:09 PM",Kudos,Activity,27749973
"Nov 15, 2012, 9:37:57 PM",Kudos,Activity,27886738
"Nov 16, 2012, 3:57:36 PM",Kudos,Activity,27906392
"Nov 16, 2012, 4:31:39 PM",Kudos,Activity,27910791
"Nov 18, 2012, 5:41:20 PM",Kudos,Activity,28146927
"Nov 20, 2012, 9:48:56 PM",Kudos,Activity,28640411
"Nov 27, 2012, 10:21:08 PM",Kudos,Activity,29885277
"Dec 17, 2012, 3:37:30 PM",Kudos,Activity,32747979
"Dec 29, 2012, 8:34:20 PM",Kudos,Activity,34604847
"Jan 13, 2013, 4:09:48 PM",Kudos,Feed Entry,426199
"Jan 30, 2013, 5:05:29 AM",Kudos,Activity,39099174
"Feb 4, 2013, 3:22:30 PM",Kudos,Activity,39495559
"Feb 4, 2013, 3:22:49 PM",Kudos,Activity,39506552
"Feb 20, 2013, 3:45:58 PM",Kudos,Activity,41556561
"Feb 28, 2013, 4:58:36 PM",Kudos,Activity,42488560
"Mar 8, 2013, 3:57:44 PM",Kudos,Activity,43567418
"Mar 27, 2013, 3:33:31 AM",Kudos,Activity,46002011
"Apr 9, 2013, 4:58:05 PM",Kudos,Activity,47542321
"Apr 9, 2013, 5:06:28 PM",Kudos,Activity,47595022
"May 26, 2013, 3:28:08 AM",Kudos,Activity,56093004
"May 26, 2013, 4:00:10 AM",Kudos,Activity,55916113
"Jun 3, 2013, 7:16:53 PM",Kudos,Activity,57867785
"Jun 10, 2013, 4:03:01 PM",Kudos,Activity,58677558
"Jun 26, 2013, 2:59:01 PM",Kudos,Activity,61201162
"Jun 28, 2013, 11:09:21 PM",Kudos,Activity,63259392
