Segment Name,Activity ID,Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude
Coyote Trail Climb,881703,37.32909,-122.086206,37.326869,-122.091681
Ohlone (North Gate) to Mt Allison,1091439,37.530671,-121.908793,37.498961,-121.87133
Climb to ACWD gate,1091396,37.550399,-121.917277,37.548073,-121.915698
Parkmeadow Dr. (Sioux Dr. to Blackfoot Dr.),1864520,37.514032,-121.929116,37.511926,-121.927379
Sentenel Dr (from Rancho Higuera Rd) plus Saguare Terr.,1864520,37.495778,-121.909268,37.501099,-121.905828
Rancho Higuera Ct.,1864520,37.495003,-121.908458,37.498131,-121.906696
Morrison Canyon (Start of climb to summit),2025239,37.570137,-121.954647,37.577612,-121.930239
Mission Hills Ranch,2025239,37.559673,-121.922493,37.557563,-121.924321
Morrison Canyon (Y to Summit)
Vargas Rd (Mission HIlls Ranch to Morrison Canyon Summit),2025239,37.559713,-121.922811,37.577914,-121.930073
Mayfield,1091399,37.417143,-122.160532,37.413793,-122.158963
Mayfield plus Cedro,1091399,37.417298,-122.160951,37.414283,-122.160034
Mayfield Sprint (Tim vs Kevin),1091399,37.41527,-122.158802,37.414595,-122.158473
Palomares Decent (Southside - Summit to Niles Canyon Rd),2144028,37.644646,-121.966812,37.598652,-121.946258
Hanover (Hillview to crosswalk),2181971,37.409159,-122.147101,37.410712,-122.145794
Paseo del Roble Trail (Paved shortcut),2636866,37.381882,-122.175995,37.381474,-122.175087
Antelope HIlls Path Climb to Dead End,3613677,37.527853,-121.938652,37.526443,-121.93775
Short Antelope HIlls Path Climb to Via Orinda Ct Gate,3613677,37.527681,-121.937747,37.528402,-121.937634
Brushy Peak CCW (The whole damn thing),7588594,37.746688,-121.707899,37.747087,-121.709869
Loop Trail CCW Decent (Summit to the Y)
CCW Loop Trail Descent (Summit to Y),7588594,37.76496,-121.706085,37.760268,-121.710939
West Side Loop Descent (Summit to Gate),7588594,37.75638,-121.711824,37.747906,-121.710772
Ridge Trail (Parking area to Borel Hill),10308108,37.324074,-122.204923,37.320104,-122.199845
Ridge Trail (Single track from Hawk Trail to fire road),10308108,37.328677,-122.213302,37.336725,-122.22238
Brushy Peak CW (The whole damn thing),11925727,37.747898,-121.710815,37.74657,-121.707856
Steam Donkey DH single track,12004865,37.401065,-122.30213,37.398437,-122.305943
Morrison Canyon Descent (Dead end to Canyon Heights Dr),1091475,37.579614,-121.926472,37.568765,-121.957949
Morrison Canyon Descent (Summit to bottom of climbing),13213044,37.576604,-121.931085,37.570258,-121.954256
Vista Del Sol,1864520,37.514723,-121.911523,37.514298,-121.908859
Pine (Steep Descent),13391732,37.518016,-121.932024,37.519835,-121.941398
Pine St (Sabercat to Paseo),13391732,37.519669,-121.941845,37.52352,-121.929293
Pine St (Paseo to Sabercat),13391732,37.523554,-121.928749,37.519694,-121.942104
Sabercat (Start of cimb to flat),13391732,37.523624,-121.944919,37.526343,-121.944315
Anza Pine Rd (Descent from top to Mission),13391732,37.529424,-121.910891,37.526265,-121.917481
Sentinel to Raindance to Sundance Descent,13391732,37.501224,-121.910264,37.498536,-121.913234
Rancho Higuera Rd (From Sentinel to Galindo),7373674,37.495261,-121.909021,37.489831,-121.905631
Lake Eliabeth Path CW,13978135,37.547799,-121.966218,37.547739,-121.966148
Walk from home to paseo cross walk,14299818,37.541523,-121.969048,37.544906,-121.965722
Walk from Paseo crosswalk (after crossing) to home,14299818,37.545005,-121.965453,37.541267,-121.96859
Blackfoot Dr.,1091507,37.512615,-121.931063,37.511848,-121.927517
Razorback Ridge (from Skyline to Alpine),14960527,37.347842,-122.230438,37.356284,-122.217829
Climb up to Palo Alto University,16167605,37.383918,-122.187099,37.381795,-122.187054
Arastradero Creek Trail Climb,16586225,37.363237,-122.17905,37.365633,-122.180618
Fir Trail Climb,17299671,37.412102,-122.317328,37.410548,-122.311975
CCW lap around the lake starting and ending at the Senior Center,14299818,37.546697,-121.96563,37.546764,-121.965815
Sundanceand Raindance (From Paseo to Sentinel),7373674,37.498395,-121.913211,37.501011,-121.909059
Mission North (Stanford to Walnut/Morrison Canyon),23485057,37.502493,-121.91948,37.565226,-121.96112
Vargas Rd (Uphill from Mission Hills Ranch to Y),24534858,37.559636,-121.922733,37.570606,-121.934297
Vargas Rd Climb,24534858,37.55687,-121.918671,37.561621,-121.918719
Private Drive,24534858,37.554306,-121.916122,37.555092,-121.914237
The last climb from hell,24534858,37.570015,-121.936841,37.573136,-121.931959
Morrison Canyon (The last climb from HELL!),24534858,37.57014,-121.937023,37.573153,-121.931976
Quimby Rd East Descent (Summit to Mt Hamilton Rd),24912839,37.33407,-121.732986,37.342191,-121.722173
Edgewood Climb (Alameda to Crestview),1091505,37.482772,-122.255996,37.474302,-122.279216
Crestview (the first steep part to la mesa),30482075,37.477176,-122.281472,37.481032,-122.282093
Page Mill Rd Ascent (Hanover to Skyline via Page Mill and Old Page Mill),31575305,37.416958,-122.147279,37.314969,-122.186449
Weller rd plus Mt Allison Rd (Calivaras to the Bench),32560549,37.444559,-121.840479,37.498971,-121.871348
Ohlone side to the peak (from the back ;-),32573501,37.528967,-121.910308,37.512801,-121.881402
Mt Allison (from ridge trail) and Weller Rd descent (to Calaveras Rd),32573501,37.50259,-121.868966,37.444618,-121.840464
Varian Friday Lunch Ride,37515557,37.415395,-122.143257,37.415233,-122.143128
Mission Peak: Gate till my watch died ( I will delete this when i redo it with a full charge :p),37774316,37.502749,-121.912714,37.515857,-121.884572
Peak Trail Climb,39928503,37.5118,-121.886388,37.507011,-121.879598
Peak Trail Climb,39928503,37.5118,-121.886388,37.507011,-121.879598
Stanford Trail (from gate to Grove trail intersection),39928503,37.504289,-121.908082,37.513593,-121.887603
Stanford Descent (Summit to Gate (No Shortcuts)),41795920,37.512886,-121.881407,37.504281,-121.908066
Ohlone Wilderness Trail (Sunol to Mission Peak Summit (north acsent)),42179828,37.514003,-121.830398,37.512802,-121.881452
