Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_steps"">Total Steps</span>",Media
1091385,"Jul 28, 2011, 11:51:46 PM",Interval Training,Ride,,1540,9.51,171,15,FALSE,,2011 Allez,activities/1297099.fit.gz,78.01789856,10.43260002,1540,1396,9515.849609,16.18400002,,25.79999924,,16,31.60000038,22.12389946,-0.00210176,,,114,79.55339813,171,142.0319977,,100.2020035,,,,15,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091393,"Jul 27, 2011, 12:00:46 AM",Mill Creek,Ride,,5040,24.49,170,43,FALSE,,2011 Allez,activities/1297106.fit.gz,78.01789856,10.43260002,5040,4472,24490.09961,17.40600014,,507.6000061,,13.19999981,503.2000122,2000,0.036749601,,,118,63.79380035,170,138.5429993,,127.3150024,,,,43,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091394,"Jul 21, 2011, 6:33:18 PM",Lunch Ride in the hills,Ride,,3127,16.62,177,36,FALSE,,2011 Allez,activities/1297108.fit.gz,78.01789856,10.43260002,3127,2622,16626,17.58799934,,226.3999939,,22.39999962,238.8000031,15.46959972,-0.062552497,,,117,71.9280014,177,147.8509979,,123.060997,,,,36,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091396,"Aug 2, 2011, 11:19:28 PM",MIll Creek plus Morrison Canyon,Ride,,9546,54.53,173,123,FALSE,,2011 Allez,activities/1297103.fit.gz,78.01789856,10.43260002,9546,9359,54531.10156,17.6067009,,1046,,16,500,32.69749832,0.024573199,,,125,71.29910278,173,146.0140076,,133.2180023,,,,123,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091397,"Jul 15, 2011, 6:33:24 PM",Lunch Ride: Arastradero Preserve,Ride,,5089,18.89,181,70,FALSE,,RockHopper,activities/1297113.fit.gz,78.01789856,12.70059967,5089,4367,18891.40039,14.63000011,,296.3999939,,14.60000038,245.6000061,217.3910065,0.0296432,,,154,72.88670349,181,154.0659943,,113.8990021,,,,70,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,34417,,,,,,,,,,,,,,,,,,
1091398,"Jul 19, 2011, 6:04:46 PM",Lunch Ride in the hills,Ride,,5390,32.68,175,62,FALSE,,2011 Allez,activities/1297111.fit.gz,78.01789856,10.43260002,5390,5361,32685.19922,21.47599983,,603.5999756,,13,530.5999756,33.03680038,-0.000611897,,,120,72.97480011,175,146.0180054,,137.3249969,,,,62,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091399,"Jul 14, 2011, 6:21:55 PM",Lunch Ride,Ride,,3052,16.43,176,26,FALSE,,2011 Allez,activities/1297120.fit.gz,78.01789856,10.43260002,3052,2961,16435.69922,16.17499924,,135,,11.60000038,63.40000153,19.65320015,-0.019469799,,,110,65.29149628,176,127.9120026,,81.93379974,,,,26,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091402,"Jul 10, 2011, 6:30:27 PM",Lunch Ride Short PV loop,Ride,,3927,21.25,174,25,FALSE,,2011 Allez,activities/1297116.fit.gz,78.01789856,10.43260002,3927,3593,21250.30078,14.37800026,,203,,28.20000076,151.8000031,103.447998,-0.0141174,,,125,64.13050079,174,123.7910004,,92.53730011,370.7224731,,,25,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091403,"Jul 8, 2011, 6:13:42 PM",Lunch Ride in the hills,Ride,,4045,25.69,178,54,FALSE,,2011 Allez,activities/1297118.fit.gz,78.01789856,10.43260002,4045,3950,25697,16.07999992,,445.2000122,,15,284,33.33330154,0.0140094,,,114,75.48970032,178,148.0429993,,135.3470001,,,,54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091404,"Jun 25, 2011, 6:43:29 PM",Short Lunch Ride,Ride,,2148,11.97,,,FALSE,,2011 Allez,activities/1297124.fit.gz,78.01789856,10.43260002,2148,1994,11976.2998,13.29170036,,150,,12,114.5999985,25.43720055,-0.0133598,,,162,73.00650024,,,,106.3799973,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091405,"Jul 3, 2011, 4:53:59 PM","Rode to Lake Del Valle, then swam, then rode back",Ride,,11153,57.59,,,FALSE,,2011 Allez,activities/1297115.fit.gz,78.01789856,10.43260002,11153,9688,57598.5,26.59399986,,588.4000244,,190.8000031,439.7999878,1550,0.019445,,,217,73.99919891,,,,119.1399994,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091407,"Jul 6, 2011, 2:42:00 AM",Easy ride,Ride,,4756,20.5,141,16,FALSE,,2011 Allez,activities/1297130.fit.gz,78.01789856,10.43260002,4756,4326,20508.09961,12.61670017,,78.80000305,,13.39999962,58,24.09639931,-0.0204797,,,134,57.20619965,141,97.80819702,,58.70069885,,,,16,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091410,"Jul 7, 2011, 6:33:13 PM",Short Lunch Ride in the hills,Ride,,2712,15.26,175,27,FALSE,,2011 Allez,activities/1297131.fit.gz,78.01789856,10.43260002,2712,2528,15260.7002,16.51000023,,204,,15,146.3999939,666.6669922,0.0183478,,,130,71.33630371,175,138.1600037,,120.1210022,,,,27,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091411,"Jun 26, 2011, 7:37:21 PM",Hike @ Rancho San Antonio,Hike,w/ Christina,5588,6.7,136,20,,,,activities/1297127.fit.gz,,,5588,5359,6704.569824,3.285000086,,184.8000031,,134,304.2000122,2000,0.286372006,,,,,136,101.5680008,,,,,,20,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,3311,,,,,,,,,,,,,,,,,
1091413,"Jun 13, 2011, 2:15:10 AM",Easy ride,Ride,,3674,14.84,,,FALSE,,2011 Allez,activities/1297135.fit.gz,78.01789856,10.43260002,3674,3327,14845.09961,14.10900021,,90.19999695,,12.60000038,57,35.19060135,0.029639401,,,106,49.2594986,,,,52.01869965,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091415,"Jun 30, 2011, 4:10:27 PM",Montebello and Long Ridge,Ride,Monster Mt Bike ride. Chain broke climbing up to skyline.,12527,23.1,173,95,FALSE,,RockHopper,activities/1297125.fit.gz,78.01789856,12.70059967,12527,9480,23103.90039,12.18799973,,867.2319946,,389.8999939,858.2000122,428.5710144,0,,,176,69.1536026,173,137.0420074,,131.2579956,1387.42334,,,95,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,34417,,,,,,,,,,,,,,,,,,
1091416,"Jun 24, 2011, 5:28:47 PM",Lunch Ride: The Loop plus OLH,Ride,,7650,48.4,177,88,FALSE,,2011 Allez,activities/1297123.fit.gz,78.01789856,10.43260002,7650,7563,48400.19922,16.30800056,,748,,13,536,6000,0.0132231,,,116,77.28749847,177,140.4140015,,126.7659988,1068.985352,,,88,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091417,"May 26, 2011, 6:38:50 PM",Lunch Ride,Ride,,2025,13.56,178,25,FALSE,,2011 Allez,activities/1297139.fit.gz,78.01789856,10.43260002,2025,1979,13566.7998,13.66800022,,120.4000015,,15,76,15.81029987,0.0471741,,,119,85.34790039,178,145.8919983,,115.7300034,,,,25,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091419,"Jun 6, 2011, 11:32:22 PM",After work ride to Palomares Summit and back,Ride,W/ Alex and Jason,7880,29.05,182,61,FALSE,,2011 Allez,activities/1297137.fit.gz,78.01789856,10.43260002,7880,4360,29058.69922,16.76799965,,390.7999878,,-10.19999981,357.2000122,4000,0.046801802,,,139,78.52899933,182,148.6060028,,104.4769974,,,,61,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091420,"Jun 17, 2011, 10:13:37 PM",After work ride w Alex,Ride,,5968,16.15,170,39,FALSE,,RockHopper,activities/1297134.fit.gz,78.01789856,12.70059967,5968,4711,16158.90039,15.39000034,,467.7999878,,214,693.7999878,5000,-0.074262701,,,179,76.31759644,170,133.5500031,,110.0230026,,,,39,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,34417,,,,,,,,,,,,,,,,,,
1091421,"Jun 23, 2011, 5:58:58 PM",Lunch Ride: Arastradero Preserve,Ride,,6327,22.99,164,46,FALSE,,RockHopper,activities/1297133.fit.gz,78.01789856,12.70059967,6327,5776,22991.69922,13.61600018,,376.7999878,,9.600000381,224,43.95600128,-0.014788,,,189,73.5094986,164,132.8820038,,99.83280182,,,,46,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,34417,,,,,,,,,,,,,,,,,,
1091422,"May 12, 2011, 11:19:58 PM","Commute, work to home",Ride,,5137,33.29,169,60,FALSE,,2011 Allez,activities/1297143.fit.gz,78.01789856,10.43260002,5137,4967,33297.80078,12.60599995,,103.5999985,,0.200000003,33.59999847,370.3699951,0.0138147,,,115,83.18530273,169,148.7319946,,96.35030365,,,,60,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091423,"May 22, 2011, 7:11:54 PM",Brushy Peak,Ride,,7731,18.42,175,63,FALSE,,FSR,activities/1297142.fit.gz,78.01789856,15.8757,7731,4817,18422.69922,10.97200012,,378.3999939,,170.1999969,422.3999939,10000,0.0151986,,,141,78.35749817,175,146.7610016,,114.6490021,615.7745972,,,63,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,130456,,,,,,,,,,,,,,,,,,
1091424,"May 5, 2011, 12:45:25 PM",Short Lunch Ride in the hills,Ride,,2358,14.66,171,25,FALSE,,2011 Allez,activities/1297148.fit.gz,78.01789856,10.43260002,2358,2328,14660.7002,14.375,,188.6000061,,13.60000038,149.6000061,10.54609966,0.0109135,,,126,79.00749969,171,139.6269989,,106.8949966,,,,25,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091425,"May 12, 2011, 12:04:45 PM","Commute, home to work",Ride,,6689,31.4,165,43,FALSE,,2011 Allez,activities/1297147.fit.gz,78.01789856,10.43260002,6689,5324,31402.19922,9.046250343,,61.79999924,,-1,26.79999924,100,-0.0140118,,,112,76.90879822,165,130.6999969,,65.09410095,,,,43,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091426,"May 20, 2011, 6:32:13 PM",Lunch Ride,Ride,,3554,22.83,174,35,FALSE,,2011 Allez,activities/1297141.fit.gz,78.01789856,10.43260002,3554,3479,22833.90039,15.03800011,,333,,12.80000019,207.8000031,285.7139893,0.042042799,,,122,79.08989716,174,141.4620056,,130.0720062,,,,35,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091427,"Jun 16, 2011, 11:11:37 PM",After work ride from Skyline to the ocean and back,Ride,W/ Timbo,12194,68.19,168,120,FALSE,,2011 Allez,activities/1297136.fit.gz,78.01789856,10.43260002,12194,10987,68191.20313,18.89800072,,958.4000244,,30.60000038,757.5999756,12000,0.00498598,,,118,69.67099762,168,140.5480042,,118.5849991,,,,120,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091428,"May 29, 2011, 6:21:30 PM",Livermore Loop,Ride,,11291,70.96,171,121,FALSE,,2011 Allez,activities/1297140.fit.gz,78.01789856,10.43260002,11291,11141,70961.10156,20.77799988,,672.2000122,,41.20000076,498.6000061,26.20089912,0.00986456,,,121,80.32949829,171,146.2189941,,108.6240005,1349.350708,,,121,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091429,"Jun 15, 2011, 6:23:33 PM",Lunch Ride: Arastradero Preserve,Ride,,4259,19.49,172,51,FALSE,,RockHopper,activities/1297138.fit.gz,78.01789856,12.70059967,4259,4123,19496.19922,12.37199974,,302,,15,229.6000061,705.882019,0.068731397,,,153,80.21859741,172,143.2079926,,118.8560028,,,,51,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,34417,,,,,,,,,,,,,,,,,,
1091430,"May 4, 2011, 11:27:13 PM","05/04/2011 Fremont, CA",Ride,,3282,13.62,158,17,FALSE,,,activities/1297151.fit.gz,78.01789856,,3282,2565,13624.7998,18.89999962,,107.4000015,,12.19999981,89.19999695,210.526001,0.0278903,,,167,64.84169769,158,124.8440018,,,,,,17,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091431,"May 1, 2011, 6:19:55 PM",Short Lunch Ride,Ride,"Rode with Tim, David, and Jason",3845,12.76,185,21,FALSE,,2011 Allez,activities/1297152.fit.gz,78.01789856,10.43260002,3845,2804,12766.59961,15.03800011,,131.6000061,,15,116.4000015,12000,0.078329504,,,217,56.60380173,185,124.6159973,,64.36229706,,,,21,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
1091432,"May 6, 2011, 6:33:03 PM",Lunch Ride Short PV loop,Ride,,4271,26.24,161,34,FALSE,,2011 Allez,activities/1297150.fit.gz,78.01789856,10.43260002,4271,4215,26242,15.29199982,,281.2000122,,0.200000003,153.8000031,14.26720047,0.00457282,,,149,79.27950287,161,136.3209991,,103.4339981,486.1113586,,,34,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28721,,,,,,,,,,,,,,,,,,
