index,Activity Date,Activity Name,Activity Type,Distance,Commute,Activity Gear,Athlete Weight,Bike Weight,Moving Time,Max Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Start Hour,Year,Average Speed
0,2011-07-28 16:51:46,Interval Training,Ride,9.51,False,2011 Allez,78.01789856,10.43260002,1396,16.18400002,25.79999924,,16.0,31.60000038,22.12389946,-0.00210176,16,2011,15.24
1,2011-07-26 17:00:46,Mill Creek,Ride,24.49,False,2011 Allez,78.01789856,10.43260002,4472,17.40600014,507.6000061,,13.19999981,503.2000122,2000.0,0.036749601,17,2011,12.25
2,2011-07-21 11:33:18,Lunch Ride in the hills,Ride,16.62,False,2011 Allez,78.01789856,10.43260002,2622,17.58799934,226.3999939,,22.39999962,238.8000031,15.46959972,-0.062552497,11,2011,14.18
3,2011-08-02 16:19:28,MIll Creek plus Morrison Canyon,Ride,54.53,False,2011 Allez,78.01789856,10.43260002,9359,17.6067009,1046.0,,16.0,500.0,32.69749832,0.024573199,16,2011,13.03
4,2011-07-15 11:33:24,Lunch Ride: Arastradero Preserve,Ride,18.89,False,RockHopper,78.01789856,12.70059967,4367,14.63000011,296.3999939,,14.60000038,245.6000061,217.3910065,0.0296432,11,2011,9.68
5,2011-07-19 11:04:46,Lunch Ride in the hills,Ride,32.68,False,2011 Allez,78.01789856,10.43260002,5361,21.47599983,603.5999756,,13.0,530.5999756,33.03680038,-0.000611897,11,2011,13.64
6,2011-07-14 11:21:55,Lunch Ride,Ride,16.43,False,2011 Allez,78.01789856,10.43260002,2961,16.17499924,135.0,,11.60000038,63.40000153,19.65320015,-0.019469799,11,2011,12.41
7,2011-07-10 11:30:27,Lunch Ride Short PV loop,Ride,21.25,False,2011 Allez,78.01789856,10.43260002,3593,14.37800026,203.0,,28.20000076,151.8000031,103.447998,-0.0141174,11,2011,13.23
8,2011-07-08 11:13:42,Lunch Ride in the hills,Ride,25.69,False,2011 Allez,78.01789856,10.43260002,3950,16.07999992,445.2000122,,15.0,284.0,33.33330154,0.0140094,11,2011,14.55
9,2011-06-25 11:43:29,Short Lunch Ride,Ride,11.97,False,2011 Allez,78.01789856,10.43260002,1994,13.29170036,150.0,,12.0,114.5999985,25.43720055,-0.0133598,11,2011,13.43
10,2011-07-03 09:53:59,"Rode to Lake Del Valle, then swam, then rode back",Ride,57.59,False,2011 Allez,78.01789856,10.43260002,9688,26.59399986,588.4000244,,190.8000031,439.7999878,1550.0,0.019445,9,2011,13.3
11,2011-07-05 19:42:00,Easy ride,Ride,20.5,False,2011 Allez,78.01789856,10.43260002,4326,12.61670017,78.80000305,,13.39999962,58.0,24.09639931,-0.0204797,19,2011,10.6
12,2011-07-07 11:33:13,Short Lunch Ride in the hills,Ride,15.26,False,2011 Allez,78.01789856,10.43260002,2528,16.51000023,204.0,,15.0,146.3999939,666.6669922,0.0183478,11,2011,13.5
13,2011-06-26 12:37:21,Hike @ Rancho San Antonio,Hike,6.7,,,,,5359,3.285000086,184.8000031,,134.0,304.2000122,2000.0,0.286372006,12,2011,
14,2011-06-12 19:15:10,Easy ride,Ride,14.84,False,2011 Allez,78.01789856,10.43260002,3327,14.10900021,90.19999695,,12.60000038,57.0,35.19060135,0.029639401,19,2011,9.98
15,2011-06-30 09:10:27,Montebello and Long Ridge,Ride,23.1,False,RockHopper,78.01789856,12.70059967,9480,12.18799973,867.2319946,,389.8999939,858.2000122,428.5710144,0.0,9,2011,5.45
16,2011-06-24 10:28:47,Lunch Ride: The Loop plus OLH,Ride,48.4,False,2011 Allez,78.01789856,10.43260002,7563,16.30800056,748.0,,13.0,536.0,6000.0,0.0132231,10,2011,14.31
17,2011-05-26 11:38:50,Lunch Ride,Ride,13.56,False,2011 Allez,78.01789856,10.43260002,1979,13.66800022,120.4000015,,15.0,76.0,15.81029987,0.0471741,11,2011,15.34
18,2011-06-06 16:32:22,After work ride to Palomares Summit and back,Ride,29.05,False,2011 Allez,78.01789856,10.43260002,4360,16.76799965,390.7999878,,-10.19999981,357.2000122,4000.0,0.046801802,16,2011,14.9
19,2011-06-17 15:13:37,After work ride w Alex,Ride,16.15,False,RockHopper,78.01789856,12.70059967,4711,15.39000034,467.7999878,,214.0,693.7999878,5000.0,-0.074262701,15,2011,7.67
20,2011-06-23 10:58:58,Lunch Ride: Arastradero Preserve,Ride,22.99,False,RockHopper,78.01789856,12.70059967,5776,13.61600018,376.7999878,,9.600000381,224.0,43.95600128,-0.014788,10,2011,8.91
21,2011-05-12 16:19:58,"Commute, work to home",Ride,33.29,False,2011 Allez,78.01789856,10.43260002,4967,12.60599995,103.5999985,,0.200000003,33.59999847,370.3699951,0.0138147,16,2011,15.0
22,2011-05-22 12:11:54,Brushy Peak,Ride,18.42,False,FSR,78.01789856,15.8757,4817,10.97200012,378.3999939,,170.1999969,422.3999939,10000.0,0.0151986,12,2011,8.56
23,2011-05-05 05:45:25,Short Lunch Ride in the hills,Ride,14.66,False,2011 Allez,78.01789856,10.43260002,2328,14.375,188.6000061,,13.60000038,149.6000061,10.54609966,0.0109135,5,2011,14.09
24,2011-05-12 05:04:45,"Commute, home to work",Ride,31.4,False,2011 Allez,78.01789856,10.43260002,5324,9.046250343,61.79999924,,-1.0,26.79999924,100.0,-0.0140118,5,2011,13.19
25,2011-05-20 11:32:13,Lunch Ride,Ride,22.83,False,2011 Allez,78.01789856,10.43260002,3479,15.03800011,333.0,,12.80000019,207.8000031,285.7139893,0.042042799,11,2011,14.68
26,2011-06-16 16:11:37,After work ride from Skyline to the ocean and back,Ride,68.19,False,2011 Allez,78.01789856,10.43260002,10987,18.89800072,958.4000244,,30.60000038,757.5999756,12000.0,0.00498598,16,2011,13.88
27,2011-05-29 11:21:30,Livermore Loop,Ride,70.96,False,2011 Allez,78.01789856,10.43260002,11141,20.77799988,672.2000122,,41.20000076,498.6000061,26.20089912,0.00986456,11,2011,14.25
28,2011-06-15 11:23:33,Lunch Ride: Arastradero Preserve,Ride,19.49,False,RockHopper,78.01789856,12.70059967,4123,12.37199974,302.0,,15.0,229.6000061,705.882019,0.068731397,11,2011,10.57
29,2011-05-04 16:27:13,"05/04/2011 Fremont, CA",Ride,13.62,False,,78.01789856,,2565,18.89999962,107.4000015,,12.19999981,89.19999695,210.526001,0.0278903,16,2011,11.87
30,2011-05-01 11:19:55,Short Lunch Ride,Ride,12.76,False,2011 Allez,78.01789856,10.43260002,2804,15.03800011,131.6000061,,15.0,116.4000015,12000.0,0.078329504,11,2011,10.18
31,2011-05-06 11:33:03,Lunch Ride Short PV loop,Ride,26.24,False,2011 Allez,78.01789856,10.43260002,4215,15.29199982,281.2000122,,0.200000003,153.8000031,14.26720047,0.00457282,11,2011,13.92
32,2011-05-11 11:37:45,Lunch Ride in the hills,Ride,17.39,False,2011 Allez,78.01789856,10.43260002,3189,15.90400028,293.0,,14.0,231.1999969,80.0,0.00344931,11,2011,12.2
33,2011-04-16 18:56:24,Tour de Fremont Hills,Ride,30.3,False,2011 Allez,78.01789856,10.43260002,4990,19.22200012,503.2000122,,7.599999905,158.3999939,18.2894001,-0.0178222,18,2011,13.58
